BTCUSDT,ETHUSDT,date
53485.3,1624.36,2021-03-26
53538.21,1626.78,2021-03-26
53474.79,1625.5,2021-03-26
53516.28,1626.13,2021-03-26
53567.18,1629.03,2021-03-26
53401.63,1623.82,2021-03-26
53487.99,1624.52,2021-03-26
53320.82,1621.85,2021-03-26
53232.92,1617.06,2021-03-26
53256.57,1616.81,2021-03-26
53331.62,1618.77,2021-03-26
53245.43,1617.31,2021-03-26
53277.86,1618.41,2021-03-26
53270.88,1617.86,2021-03-26
53374.49,1619.66,2021-03-26
53528.09,1622.49,2021-03-26
53531.7,1622.28,2021-03-26
53228.11,1616.72,2021-03-26
53388.0,1621.88,2021-03-26
53380.57,1623.54,2021-03-26
53354.01,1622.4,2021-03-26
53372.39,1622.26,2021-03-26
53378.06,1623.56,2021-03-26
53327.05,1623.3,2021-03-26
53299.83,1622.69,2021-03-26
53284.66,1623.17,2021-03-26
53132.6,1619.96,2021-03-26
53080.13,1618.8,2021-03-26
53051.0,1618.91,2021-03-26
52818.44,1614.53,2021-03-26
52810.86,1616.0,2021-03-26
52933.52,1622.62,2021-03-26
52763.85,1617.97,2021-03-26
52704.77,1618.21,2021-03-26
52710.96,1617.82,2021-03-26
52881.45,1622.5,2021-03-26
52958.75,1622.51,2021-03-26
53200.01,1626.43,2021-03-26
53097.09,1627.81,2021-03-26
53012.2,1626.25,2021-03-26
52883.31,1623.01,2021-03-26
52847.69,1624.52,2021-03-26
53019.03,1629.19,2021-03-26
52865.23,1625.98,2021-03-26
52974.84,1630.3,2021-03-26
52887.21,1629.38,2021-03-26
53001.57,1634.62,2021-03-26
53010.69,1633.7,2021-03-26
53001.58,1633.18,2021-03-26
53099.82,1635.24,2021-03-26
53025.86,1633.27,2021-03-26
52959.46,1632.49,2021-03-26
52756.61,1627.68,2021-03-26
52934.06,1634.08,2021-03-26
53000.0,1636.49,2021-03-26
53214.84,1646.57,2021-03-26
53180.03,1643.81,2021-03-26
53241.05,1647.81,2021-03-26
53316.82,1647.73,2021-03-26
53211.62,1643.89,2021-03-26
53189.98,1644.16,2021-03-26
53193.91,1643.82,2021-03-26
53273.12,1644.85,2021-03-26
53180.68,1641.4,2021-03-26
53249.99,1642.72,2021-03-26
53171.58,1640.89,2021-03-26
53211.55,1642.16,2021-03-26
53200.0,1641.91,2021-03-26
53309.52,1644.47,2021-03-26
53303.62,1643.79,2021-03-26
53414.09,1644.18,2021-03-26
53374.82,1641.1,2021-03-26
53339.45,1640.41,2021-03-26
53352.15,1641.67,2021-03-26
53263.3,1638.9,2021-03-26
53379.99,1641.09,2021-03-26
53317.7,1638.71,2021-03-26
53294.39,1638.86,2021-03-26
53324.02,1639.1,2021-03-26
53367.59,1640.13,2021-03-26
53353.63,1640.7,2021-03-26
53257.0,1637.88,2021-03-26
53308.27,1641.28,2021-03-26
52956.13,1635.84,2021-03-26
53416.92,1647.39,2021-03-26
53425.38,1647.65,2021-03-26
53664.2,1654.46,2021-03-26
53621.05,1656.14,2021-03-26
53706.51,1660.7,2021-03-26
53923.5,1664.26,2021-03-26
53966.86,1665.13,2021-03-26
53822.62,1663.51,2021-03-26
53804.66,1663.61,2021-03-26
53696.14,1662.86,2021-03-26
53776.05,1666.27,2021-03-26
53690.9,1662.36,2021-03-26
53531.69,1658.25,2021-03-26
53598.4,1659.1,2021-03-26
53644.46,1659.0,2021-03-26
53664.29,1660.09,2021-03-26
53675.71,1659.08,2021-03-26
53796.97,1663.18,2021-03-26
53747.31,1663.29,2021-03-26
53747.46,1661.99,2021-03-26
53746.47,1664.38,2021-03-26
53824.89,1663.45,2021-03-26
53823.98,1663.67,2021-03-26
53860.05,1664.75,2021-03-26
53743.56,1662.98,2021-03-26
53655.92,1660.0,2021-03-26
53465.34,1653.59,2021-03-26
53580.6,1655.82,2021-03-26
